antitrait	trait
#trait_to_antitraits_tables;0;db/trait_to_antitraits_tables/trait_to_antitraits	
r2_faction_leader_inv_rome_consular_tribune	inv_ch_rome_consul_posterior
r2_faction_leader_inv_rome_consular_tribune	inv_ch_rome_consul_prior
r2_faction_leader_inv_rome_consular_tribune	inv_ch_rome_dictator
r2_faction_leader_inv_rome_consular_tribune	inv_ch_rome_ex_consul
r2_faction_leader_inv_rome_consular_tribune	inv_ch_rome_ex_dictator
r2_sp_trait_all_admin_good	r2_sp_trait_all_gambling
r2_sp_trait_all_admin_good	r2_sp_trait_all_lazy
r2_sp_trait_all_admin_good	r2_sp_trait_all_leader_architect
r2_sp_trait_all_admin_good	r2_sp_trait_all_leader_mad
r2_sp_trait_all_admin_good	r2_sp_trait_barbarian_drink
r2_sp_trait_all_admin_good	r2_sp_trait_civilized_drink
r2_sp_trait_all_admin_good	r2_sp_trait_non_roman_dishonest
r2_sp_trait_all_admin_good	r2_sp_trait_roman_background_fighter
r2_sp_trait_all_admin_good	r2_sp_trait_roman_dishonest
r2_sp_trait_all_admin_good	r2_sp_trait_roman_drink
r2_sp_trait_all_admin_good	r2_sp_trait_rome_mad
r2_sp_trait_all_agent_army_assault_unit	r2_sp_trait_all_agent_army_show_force
r2_sp_trait_all_agent_army_assault_unit	r2_sp_trait_female_all_agent_army_show_force
r2_sp_trait_all_agent_army_intercept_orders	r2_sp_trait_all_agent_army_poison_provisions
r2_sp_trait_all_agent_army_intercept_orders	r2_sp_trait_all_agent_army_wreck_supplies
r2_sp_trait_all_agent_army_mislead_command	r2_sp_trait_all_agent_army_threaten
r2_sp_trait_all_agent_army_mislead_command	r2_sp_trait_all_agent_army_undermine_authority
r2_sp_trait_all_agent_army_poison_provisions	r2_sp_trait_all_agent_army_intercept_orders
r2_sp_trait_all_agent_army_poison_provisions	r2_sp_trait_all_agent_army_wreck_supplies
r2_sp_trait_all_agent_army_show_force	r2_sp_trait_all_agent_army_assault_unit
r2_sp_trait_all_agent_army_threaten	r2_sp_trait_all_agent_army_mislead_command
r2_sp_trait_all_agent_army_threaten	r2_sp_trait_all_agent_army_undermine_authority
r2_sp_trait_all_agent_army_undermine_authority	r2_sp_trait_all_agent_army_mislead_command
r2_sp_trait_all_agent_army_undermine_authority	r2_sp_trait_all_agent_army_threaten
r2_sp_trait_all_agent_army_wreck_supplies	r2_sp_trait_all_agent_army_intercept_orders
r2_sp_trait_all_agent_army_wreck_supplies	r2_sp_trait_all_agent_army_poison_provisions
r2_sp_trait_all_agent_character_kill_betrayal	r2_sp_trait_all_agent_character_kill_hire_assassins
r2_sp_trait_all_agent_character_kill_betrayal	r2_sp_trait_all_agent_character_kill_provocation
r2_sp_trait_all_agent_character_kill_concealed_blade	r2_sp_trait_all_agent_character_kill_poison
r2_sp_trait_all_agent_character_kill_concealed_blade	r2_sp_trait_all_agent_character_kill_solicit_traitor
r2_sp_trait_all_agent_character_kill_concealed_blade	r2_sp_trait_female_all_agent_character_kill_poison
r2_sp_trait_all_agent_character_kill_hire_assassins	r2_sp_trait_all_agent_character_kill_betrayal
r2_sp_trait_all_agent_character_kill_hire_assassins	r2_sp_trait_all_agent_character_kill_provocation
r2_sp_trait_all_agent_character_kill_marksmanship	r2_sp_trait_all_agent_character_kill_single_combat
