id	trigger	trait	value	chance
#trigger_effects_tables;0;db/trigger_effects_tables/trigger_effects				
1796	r2_sp_trait_all_admin_good_success_trigger	r2_sp_trait_all_admin_good	1	5
2159	r2_sp_trait_all_ambusher_bad_trigger	r2_sp_trait_all_ambusher_bad	1	-1
2165	r2_sp_trait_all_ambusher_good_trigger	r2_sp_trait_all_ambusher_good	1	-1
2169	r2_sp_trait_all_attacker_bad_trigger	r2_sp_trait_all_attacker_bad	1	-1
2178	r2_sp_trait_all_attacker_good_trigger	r2_sp_trait_all_attacker_good	1	-1
2187	r2_sp_trait_all_attacker_sea_bad_trigger	r2_sp_trait_all_attacker_sea_bad	1	-1
2196	r2_sp_trait_all_attacker_sea_good_trigger	r2_sp_trait_all_attacker_sea_good	1	-1
2203	r2_sp_trait_all_background_abandoned_trigger	r2_sp_trait_all_background_abandoned	1	4
2209	r2_sp_trait_all_background_assassin_trigger	r2_sp_trait_all_background_assassin	1	-1
2219	r2_sp_trait_all_background_beautiful_trigger	r2_sp_trait_all_background_beautiful	1	4
2221	r2_sp_trait_all_background_bright_trigger	r2_sp_trait_all_background_bright	1	4
2223	r2_sp_trait_all_background_command_trigger	r2_sp_trait_all_background_command	1	4
2233	r2_sp_trait_all_background_diplomacy_trigger	r2_sp_trait_all_background_diplomacy	1	4
2237	r2_sp_trait_all_background_inbred_trigger	r2_sp_trait_all_background_inbred	1	2
2239	r2_sp_trait_all_background_philosopher_trigger	r2_sp_trait_all_background_philosopher	1	4
2247	r2_sp_trait_all_background_scientist_trigger	r2_sp_trait_all_background_scientist	1	4
2248	r2_sp_trait_all_background_slave_trigger	r2_sp_trait_all_background_slave	1	4
2256	r2_sp_trait_all_background_spy_trigger	r2_sp_trait_all_background_spy	1	4
2266	r2_sp_trait_all_background_ugly_trigger	r2_sp_trait_all_background_ugly	1	4
2274	r2_sp_trait_all_background_very_inbred_trigger	r2_sp_trait_all_background_very_inbred	1	1
2283	r2_sp_trait_all_background_very_very_inbred_trigger	r2_sp_trait_all_background_very_very_inbred	1	1
2284	r2_sp_trait_all_battle_scarred_trigger	r2_sp_trait_all_battle_scarred	1	5
2294	r2_sp_trait_all_besieger_good_trigger	r2_sp_trait_all_besieger_good	1	-1
2298	r2_sp_trait_all_defender_bad_trigger	r2_sp_trait_all_defender_bad	1	-1
2303	r2_sp_trait_all_defender_good_trigger	r2_sp_trait_all_defender_good	1	-1
2305	r2_sp_trait_all_defender_sea_bad_trigger	r2_sp_trait_all_defender_sea_bad	1	-1
2314	r2_sp_trait_all_defender_sea_good_trigger	r2_sp_trait_all_defender_sea_good	1	-1
2324	r2_sp_trait_all_disinherited_trigger	r2_sp_trait_all_disinherited	1	-1
2327	r2_sp_trait_all_energetic_trigger	r2_sp_trait_all_energetic	1	5
2335	r2_sp_trait_all_fears_barbarian_trigger	r2_sp_trait_all_fears_barbarians	1	5
2344	r2_sp_trait_all_fears_carthage_trigger	r2_sp_trait_all_fears_carthage	1	5
2351	r2_sp_trait_all_fears_easterners_trigger	r2_sp_trait_all_fears_easterners	1	5
2353	r2_sp_trait_all_fears_egyptians_trigger	r2_sp_trait_all_fears_egyptians	1	5
2361	r2_sp_trait_all_fears_greeks_trigger	r2_sp_trait_all_fears_greeks	1	5
2369	r2_sp_trait_all_fears_romans_trigger	r2_sp_trait_all_fears_romans	1	5
2372	r2_sp_trait_all_fears_successors_trigger	r2_sp_trait_all_fears_successors	1	5
2377	r2_sp_trait_all_feck_trigger	r2_sp_trait_all_feck	1	2
2383	r2_sp_trait_all_fertile_trigger	r2_sp_trait_all_fertile	1	4
2388	r2_sp_trait_all_fervour	r2_sp_trait_all_fervour	1	5
2397	r2_sp_trait_all_gambling	r2_sp_trait_all_gambling	1	5
2404	r2_sp_trait_civilised_leader_harsh	r2_sp_trait_civilised_leader_harsh	1	-1
2406	r2_sp_trait_all_hates_barbarians	r2_sp_trait_all_hates_barbarians	1	5
2413	r2_sp_trait_all_hates_carthage	r2_sp_trait_all_hates_carthage	1	5
2419	r2_sp_trait_all_hates_easterners	r2_sp_trait_all_hates_easterners	1	5
2428	r2_sp_trait_all_hates_egyptians	r2_sp_trait_all_hates_egyptians	1	5
2434	r2_sp_trait_all_hates_greeks	r2_sp_trait_all_hates_greeks	1	5
2440	r2_sp_trait_all_hates_romans	r2_sp_trait_all_hates_romans	1	5
2449	r2_sp_trait_all_hates_successors	r2_sp_trait_all_hates_successors	1	5
2459	r2_sp_trait_all_healthy	r2_sp_trait_all_healthy	1	5
2468	r2_sp_trait_all_honest	r2_sp_trait_all_honest	1	1
2477	r2_sp_trait_all_infertile	r2_sp_trait_all_infertile	1	4
2487	r2_sp_trait_all_leader_kind	r2_sp_trait_all_leader_kind	1	-1
2497	r2_sp_trait_all_lazy	r2_sp_trait_all_lazy	1	5
2502	r2_sp_trait_all_leader_architect	r2_sp_trait_all_leader_architect	1	-1
2510	r2_sp_trait_all_leader_farmer	r2_sp_trait_all_leader_farmer	1	5
2517	r2_sp_trait_all_leader_miner	r2_sp_trait_all_leader_miner	1	-1
2524	r2_sp_trait_all_leader_miser	r2_sp_trait_all_leader_miser	1	5
2529	r2_sp_trait_all_leader_spender	r2_sp_trait_all_leader_spender	1	5
2532	r2_sp_trait_all_leader_spymaster	r2_sp_trait_all_leader_spymaster	1	-1
2536	r2_sp_trait_all_leader_taxman	r2_sp_trait_all_leader_taxman	1	3
2540	r2_sp_trait_all_leader_trader	r2_sp_trait_all_leader_trader	1	3
2541	r2_sp_trait_all_leader_lewd	r2_sp_trait_all_leader_lewd	1	0
2545	r2_sp_trait_all_likes_barbarians	r2_sp_trait_all_likes_barbarians	1	1
2547	r2_sp_trait_all_likes_carthage	r2_sp_trait_all_likes_carthage	1	1
2554	r2_sp_trait_all_likes_easterners	r2_sp_trait_all_likes_easterners	1	1
2555	r2_sp_trait_all_likes_egyptians	r2_sp_trait_all_likes_egyptians	1	1
2556	r2_sp_trait_all_likes_greeks	r2_sp_trait_all_likes_greeks	1	1
2561	r2_sp_trait_all_likes_romans_1	r2_sp_trait_all_likes_romans	1	1
2570	r2_sp_trait_all_likes_successors	r2_sp_trait_all_likes_successors	1	1
2576	r2_sp_trait_all_looter	r2_sp_trait_all_looter	1	-1
2585	r2_sp_trait_all_mad	r2_sp_trait_all_mad	1	0
2587	r2_sp_trait_all_leader_mad	r2_sp_trait_all_leader_mad	1	0
2590	r2_sp_trait_all_negotiator	r2_sp_trait_all_negotiator	1	-1
2592	r2_sp_trait_all_noctophilia	r2_sp_trait_all_noctophilia	1	-1
2597	r2_sp_trait_all_noctophobia	r2_sp_trait_all_noctophobia	1	-1
2604	r2_sp_trait_all_leader_paranoid	r2_sp_trait_all_leader_paranoid	1	2
2609	r2_sp_trait_all_personal_bravery	r2_sp_trait_all_personal_bravery	1	5
2612	r2_sp_trait_all_personal_survival	r2_sp_trait_all_personal_survival	1	5
2625	r2_sp_trait_all_siege_defender_bad	r2_sp_trait_all_siege_defender_bad	1	-1
2629	r2_sp_trait_all_besieger_bad	r2_sp_trait_all_besieger_bad	1	-1
2640	r2_sp_trait_all_strategist	r2_sp_trait_all_strategist	1	-1
2649	r2_sp_trait_all_tactician	r2_sp_trait_all_tactician	1	-1
2654	r2_sp_trait_all_unhealthy	r2_sp_trait_all_unhealthy	1	5
2663	r2_sp_trait_all_leader_unjust	r2_sp_trait_all_leader_unjust	1	-1
2674	r2_sp_trait_barbarian_berserker	r2_sp_trait_barbarian_berserker	1	5
2681	r2_sp_trait_barbarian_blood_feud	r2_sp_trait_barbarian_blood_feud	1	-1
2683	r2_sp_trait_barbarian_drink	r2_sp_trait_barbarian_drink	1	2
2687	r2_sp_trait_barbarian_girls	r2_sp_trait_barbarian_girls	1	-1
2694	r2_sp_trait_barbarian_high_casualties	r2_sp_trait_barbarian_high_casualties	1	5
2704	r2_sp_trait_rome_mad	r2_sp_trait_rome_mad	1	0
2707	r2_sp_trait_barbarian_religious	r2_sp_trait_barbarian_religious	1	2
