attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/unit_attributes_to_groups_junctions	
berserk	berserker_infantry
berserk	berserker_infantry_cold
boarding	naval_units_boarding
cant_run	artillery
cant_run	artillery_cold
cant_run	artillery_warm
charge_reflector	formed_infantry_elite_charge_reflector
charge_reflector	formed_infantry_elite_charge_reflector_warm
charge_reflector	heavy_infantry_elite_charge_reflector
charge_reflector	heavy_infantry_elite_charge_reflector_warm
charge_reflector	melee_infantry_charge_reflector
charge_reflector	melee_infantry_charge_reflector_cold_inspire
charge_reflector	melee_infantry_charge_reflector_cold_scare
charge_reflector	melee_infantry_elite_charge_reflector
charge_reflector	melee_infantry_elite_charge_reflector_cold
disciplined	heavy_cavalry
disciplined	heavy_cavalry_elite
disciplined	heavy_cavalry_elite_warm
disciplined	heavy_cavalry_warm
disciplined	heavy_infantry
disciplined	heavy_infantry_cold
disciplined	heavy_infantry_elite
disciplined	heavy_infantry_elite_charge_reflector
disciplined	heavy_infantry_elite_charge_reflector_warm
disciplined	heavy_infantry_elite_warm
disciplined	heavy_infantry_warm
encourages	formed_infantry_elite
encourages	formed_infantry_elite_charge_reflector
encourages	formed_infantry_elite_charge_reflector_warm
encourages	formed_infantry_elite_warm
encourages	heavy_cavalry_elite
encourages	heavy_cavalry_elite_warm
encourages	heavy_infantry_elite
encourages	heavy_infantry_elite_charge_reflector
encourages	heavy_infantry_elite_charge_reflector_warm
encourages	heavy_infantry_elite_warm
encourages	melee_cavalry_elite
encourages	melee_cavalry_elite_charge_reflector
encourages	melee_cavalry_elite_charge_reflector_cold
encourages	melee_infantry_charge_reflector_cold_inspire
encourages	melee_infantry_cold_inspire
encourages	melee_infantry_elite
encourages	melee_infantry_elite_charge_reflector
encourages	melee_infantry_elite_charge_reflector_cold
encourages	melee_infantry_elite_cold
encourages	melee_infantry_elite_warm
encourages	melee_infantry_scare_inspire
fatigue_res	camel
fatigue_res	camel_missile
fatigue_res	missile_cavalry
fatigue_res	missile_cavalry_cold
fatigue_res	missile_cavalry_parthian
fatigue_res	missile_cavalry_parthian_cold
fatigue_res	missile_cavalry_parthian_warm
fatigue_res	missile_cavalry_warm
fatigue_res	missile_cavalry_warm_guerrilla
fatigue_res	missile_infantry
fatigue_res	missile_infantry_cold
fatigue_res	missile_infantry_cold_stealth
fatigue_res	missile_infantry_cold_stealth_guerrilla
fatigue_res	missile_infantry_stealth
fatigue_res	missile_infantry_warm
fatigue_res	missile_infantry_warm_stealth
formed_attack	formed_infantry
formed_attack	formed_infantry_elite
formed_attack	formed_infantry_elite_charge_reflector
formed_attack	formed_infantry_elite_charge_reflector_warm
formed_attack	formed_infantry_elite_warm
formed_attack	formed_infantry_warm
formed_attack	heavy_infantry
formed_attack	heavy_infantry_cold
formed_attack	heavy_infantry_elite
formed_attack	heavy_infantry_elite_charge_reflector
formed_attack	heavy_infantry_elite_charge_reflector_warm
formed_attack	heavy_infantry_elite_warm
formed_attack	heavy_infantry_warm
guerrilla_deploy	melee_cavalry_warm_guerrilla
guerrilla_deploy	melee_infantry_stealth
guerrilla_deploy	melee_infantry_stealth_cold
guerrilla_deploy	melee_infantry_stealth_scare_cold
guerrilla_deploy	melee_infantry_warm_guerrilla
guerrilla_deploy	missile_cavalry_warm_guerrilla
guerrilla_deploy	missile_infantry_cold_stealth_guerrilla
guerrilla_deploy	missile_infantry_stealth
hide_forest	berserker_infantry
hide_forest	berserker_infantry_cold
hide_forest	camel
hide_forest	camel_missile
hide_forest	formed_infantry
hide_forest	formed_infantry_elite
hide_forest	formed_infantry_elite_charge_reflector
hide_forest	formed_infantry_elite_charge_reflector_warm
hide_forest	formed_infantry_elite_warm
hide_forest	formed_infantry_warm
hide_forest	heavy_cavalry
hide_forest	heavy_cavalry_elite
hide_forest	heavy_cavalry_elite_warm
hide_forest	heavy_cavalry_warm
hide_forest	heavy_infantry
hide_forest	heavy_infantry_cold
hide_forest	heavy_infantry_elite
hide_forest	heavy_infantry_elite_charge_reflector
hide_forest	heavy_infantry_elite_charge_reflector_warm
hide_forest	heavy_infantry_elite_warm
hide_forest	heavy_infantry_warm
hide_forest	hide_wood
hide_forest	melee_cavalry
hide_forest	melee_cavalry_charge_reflector
hide_forest	melee_cavalry_charge_reflector_warm
hide_forest	melee_cavalry_cold
hide_forest	melee_cavalry_cold_scare
hide_forest	melee_cavalry_elite
hide_forest	melee_cavalry_elite_charge_reflector
hide_forest	melee_cavalry_elite_charge_reflector_cold
hide_forest	melee_cavalry_warm
hide_forest	melee_cavalry_warm_guerrilla
hide_forest	melee_infantry
hide_forest	melee_infantry_charge_reflector
hide_forest	melee_infantry_charge_reflector_cold_inspire
hide_forest	melee_infantry_charge_reflector_cold_scare
hide_forest	melee_infantry_cold
hide_forest	melee_infantry_cold_inspire
hide_forest	melee_infantry_elite
hide_forest	melee_infantry_elite_charge_reflector
hide_forest	melee_infantry_elite_charge_reflector_cold
hide_forest	melee_infantry_elite_cold
hide_forest	melee_infantry_elite_warm
hide_forest	melee_infantry_scare
hide_forest	melee_infantry_scare_cold
hide_forest	melee_infantry_scare_inspire
hide_forest	melee_infantry_scare_warm
hide_forest	melee_infantry_warm
hide_forest	melee_infantry_warm_guerrilla
hide_forest	missile_cavalry
hide_forest	missile_cavalry_cold
hide_forest	missile_cavalry_parthian
hide_forest	missile_cavalry_parthian_cold
hide_forest	missile_cavalry_parthian_warm
hide_forest	missile_cavalry_warm
hide_forest	missile_cavalry_warm_guerrilla
hide_scrub_and_forest	light_cavalry
hide_scrub_and_forest	missile_infantry
hide_scrub_and_forest	missile_infantry_cold
hide_scrub_and_forest	missile_infantry_cold_stealth
hide_scrub_and_forest	missile_infantry_cold_stealth_guerrilla
hide_scrub_and_forest	missile_infantry_warm
hide_scrub_and_forest	missile_infantry_warm_stealth
mighty_knockback	elephant_indian
mighty_knockback	elephants
mounted_fire_move	camel_missile
mounted_fire_move	light_cavalry
mounted_fire_move	missile_cavalry
mounted_fire_move	missile_cavalry_cold
mounted_fire_move	missile_cavalry_parthian
mounted_fire_move	missile_cavalry_parthian_cold
mounted_fire_move	missile_cavalry_parthian_warm
mounted_fire_move	missile_cavalry_warm
mounted_fire_move	missile_cavalry_warm_guerrilla
mounted_fire_parthian	missile_cavalry
mounted_fire_parthian	missile_cavalry_cold
mounted_fire_parthian	missile_cavalry_parthian
mounted_fire_parthian	missile_cavalry_parthian_cold
mounted_fire_parthian	missile_cavalry_parthian_warm
mounted_fire_parthian	missile_cavalry_warm
mounted_fire_parthian	missile_cavalry_warm_guerrilla
resist_cold	artillery_cold
resist_cold	berserker_infantry_cold
resist_cold	dogs_cold
resist_cold	heavy_infantry_cold
resist_cold	melee_cavalry_cold
resist_cold	melee_cavalry_cold_scare
resist_cold	melee_cavalry_elite_charge_reflector_cold
resist_cold	melee_infantry_charge_reflector_cold_inspire
resist_cold	melee_infantry_charge_reflector_cold_scare
resist_cold	melee_infantry_cold
resist_cold	melee_infantry_cold_inspire
resist_cold	melee_infantry_elite_charge_reflector_cold
resist_cold	melee_infantry_elite_cold
resist_cold	melee_infantry_scare_cold
resist_cold	melee_infantry_stealth_cold
resist_cold	melee_infantry_stealth_scare_cold
resist_cold	missile_cavalry_cold
resist_cold	missile_cavalry_parthian_cold
resist_cold	missile_infantry_cold
resist_cold	missile_infantry_cold_stealth
resist_cold	missile_infantry_cold_stealth_guerrilla
resist_heat	artillery_warm
resist_heat	camel
resist_heat	camel_missile
resist_heat	elephant_indian
resist_heat	elephants
resist_heat	formed_infantry_elite_charge_reflector_warm
resist_heat	formed_infantry_elite_warm
resist_heat	formed_infantry_warm
resist_heat	heavy_cavalry_elite_warm
resist_heat	heavy_cavalry_warm
resist_heat	heavy_infantry_elite_charge_reflector_warm
resist_heat	heavy_infantry_elite_warm
resist_heat	heavy_infantry_warm
resist_heat	melee_cavalry_charge_reflector_warm
resist_heat	melee_cavalry_warm
resist_heat	melee_cavalry_warm_guerrilla
resist_heat	melee_infantry_elite_warm
resist_heat	melee_infantry_scare_warm
resist_heat	melee_infantry_warm
resist_heat	melee_infantry_warm_guerrilla
resist_heat	missile_cavalry_parthian_warm
resist_heat	missile_cavalry_warm
resist_heat	missile_cavalry_warm_guerrilla
resist_heat	missile_infantry_warm
resist_heat	missile_infantry_warm_stealth
run_amok	elephant_indian
run_amok	elephants
scare_all	berserker_infantry
scare_all	berserker_infantry_cold
scare_all	elephant_indian
scare_all	elephants
scare_all	melee_cavalry_cold_scare
scare_all	melee_infantry_charge_reflector_cold_scare
scare_all	melee_infantry_scare
scare_all	melee_infantry_scare_cold
scare_all	melee_infantry_scare_inspire
scare_all	melee_infantry_scare_warm
scare_all	melee_infantry_stealth_scare_cold
scare_elephant	war_pigs
scare_horse	camel
scare_horse	camel_missile
scare_horse	guard_dogs
scare_immune	elephant_indian
scare_immune	elephants
snipe	missile_infantry_cold_stealth
snipe	missile_infantry_cold_stealth_guerrilla
snipe	missile_infantry_stealth
snipe	missile_infantry_warm_stealth
stalk	melee_infantry_stealth
stalk	melee_infantry_stealth_cold
stalk	melee_infantry_stealth_scare_cold
stalk	missile_infantry_cold_stealth
stalk	missile_infantry_cold_stealth_guerrilla
stalk	missile_infantry_stealth
stalk	missile_infantry_warm_stealth
