key	onscreen	sort_priority	icon	can_assault_settlement
#unit_class_tables;3;db/unit_class_tables/unit_class				
art_fix	Fixed Artillery	11	siege	true
art_fld	Field Artillery	10	siege	true
art_siege	Siege Artillery	12	siege	true
cav_mel	Melee Cavalry	4	sword_cavalry	true
cav_mis	Missile Cavalry	5	bow_cavalry	true
cav_shk	Shock Cavalry	3	spear_cavalry	true
chariot	Chariot	2	sword_cavalry	true
com	Command	0	general	true
elph	Elephant	1	sword_cavalry	true
inf_mel	Melee Infantry	7	sword_infantry	true
inf_mis	Missile Infantry	9	bow_infantry	true
inf_pik	Pike Infantry	6	spear_infantry	true
inf_spr	Spear Infantry	8	spear_infantry	true
shp_art	Artillery Ship	1	siege	true
shp_mel	Melee Ship	2	sword_infantry	true
shp_mis	Missile Ship	3	bow_infantry	true
shp_trn	Transport Ship	4	sword_infantry	true
spcl	Special	13	special	true
