key	modifier
#unit_experience_threshold_modifiers_tables;0;db/unit_experience_threshold_modifiers_tables/unit_experience_threshold_modifiers	
3c_Afr_Ballista	1.2500
3c_Afr_Ballista_Bastion	1.2500
3c_Afr_Cheiroballistra	1.2500
3c_Afr_Giant_Ballista	1.2500
3c_Afr_Large_Onager	1.2500
3c_Afr_Onager	1.2500
3c_Afr_Onager_Bastion	1.2500
3c_Afr_Scorpion	1.2500
3c_Afr_Scorpion_Bastion	1.2500
3c_Arm_Artillery_Penteres	1.2500
3c_Arm_Light_Artillery_Penteres	1.2500
3c_Bri_Ballista	1.2500
3c_Bri_Ballista_Bastion	1.2500
3c_Bri_Cheiroballistra	1.2500
3c_Bri_Giant_Ballista	1.2500
3c_Bri_Large_Onager	1.2500
3c_Bri_Onager	1.2500
3c_Bri_Onager_Bastion	1.2500
3c_Bri_Scorpion	1.2500
3c_Bri_Scorpion_Bastion	1.2500
3c_Eas_Ballista	1.2500
3c_Eas_Ballista_Bastion	1.2500
3c_Eas_Cheiroballistra	1.2500
3c_Eas_Giant_Ballista	1.2500
3c_Eas_Large_Onager	1.2500
3c_Eas_Onager	1.2500
3c_Eas_Onager_Bastion	1.2500
3c_Eas_Scorpion	1.2500
3c_Eas_Scorpion_Bastion	1.2500
3c_Eas_Scorpion_Pot_Ballista	1.2500
3c_Gal_Artillery_Quenquereme	1.2500
3c_Gal_Light_Artillery_Quinquereme	1.2500
3c_Ger_Ballista	1.2500
3c_Ger_Ballista_Bastion	1.2500
3c_Ger_Cheiroballistra	1.2500
3c_Ger_Giant_Ballista	1.2500
3c_Ger_Large_Onager	1.2500
3c_Ger_Onager	1.2500
3c_Ger_Onager_Bastion	1.2500
3c_Ger_Scorpion_Bastion	1.2500
3c_Pal_Artillery_Penteres	1.2500
3c_Pal_Light_Artillery_Penteres	1.2500
3c_Rom_Artillery_Quenquereme	1.2500
3c_Rom_Ballista	1.2500
3c_Rom_Ballista_Bastion	1.2500
3c_Rom_Beehive_Onager	1.2500
3c_Rom_Cheiroballistra	1.2500
3c_Rom_Giant_Ballista	1.2500
3c_Rom_Large_Onager	1.2500
3c_Rom_Light_Artillery_Quenquereme	1.2500
3c_Rom_Onager	1.2500
3c_Rom_Onager_Bastion	1.2500
3c_Rom_Polybolos	1.2500
3c_Rom_Scorpion_Bastion	1.2500
3c_Sas_Artillery_Penteres	1.2500
3c_Sas_Light_Artillery_Penteres	1.2500
3c_Ste_Ballista	1.2500
3c_Ste_Ballista_Bastion	1.2500
Aet_Cav	1.0000
Aet_Sword	1.0000
Aet_Sword_Six	1.0000
Afr_Archers	1.0000
Afr_Archers_Five	1.0000
Afr_Archers_Five_Lft_Bow	1.0000
Afr_Ballista	1.2500
Afr_Ballista_Bastion	1.2500
Afr_Ballista_Five	1.2500
Afr_Chariot_Raiders	1.0000
Afr_Cheiroballistra	1.2500
Afr_Elephants	1.0000
Afr_Giant_Ballista	1.2500
Afr_Javelinmen	1.0000
Afr_Javelinmen_One_Halfer	1.0000
Afr_Javelinmen_Two_Halfer	1.0000
Afr_Large_Onager	1.2500
Afr_Large_Shield_Warriors	1.0000
Afr_Levy_Spear	1.0000
Afr_Numidian_Cav	1.0000
Afr_Numidian_Noble_Cav	1.0000
Afr_Onager	1.2500
Afr_Onager_Bastion	1.2500
Afr_Onager_Five	1.2500
Afr_Scorpion	1.2500
Afr_Scorpion_Bastion	1.2500
Afr_Skirm_Cav	1.0000
Afr_Slingers_Three	1.0000
Afr_Slingers_Three_Scorpio	1.0000
Afr_Spear_Two	1.0000
Afr_Spear_Two_Fire_Pots	1.0000
Afr_Tribal_Slingers	1.0000
Afr_Tribesmen	1.0000
Afr_War_Elephants	1.0000
Afr_Warriors_Six	1.0000
Ara_Camel_Archers	1.0000
Ara_Camel_Spear	1.0000
Ara_Cav	1.0000
Ara_Levy_Skirm	1.0000
Ara_Levy_Spear	1.0000
Ara_Noble_Sword	1.0000
Ara_Skirm_Thee	1.0000
Ara_Skirm_Three_Scorpio	1.0000
Ara_Slingers	1.0000
Ara_Slingers_Five	1.0000
Ara_Slingers_Five_Dbl_Scorpio	1.0000
Ara_Slingers_Five_Lft_Bow	1.0000
Ara_Spear_Four	1.0000
Ara_Spear_Two	1.0000
Ara_Spear_Two_Fire_Pots	1.0000
Ara_Tribes_One_Halfer	1.0000
Ara_Tribes_People	1.0000
Ara_Tribes_Two_Halfer	1.0000
Aux_Afr_Archers	1.0000
Aux_Afr_Archers_Three	1.0000
Aux_Afr_Cav	1.0000
Aux_Afr_Elephant	1.0000
Aux_Afr_Spr	1.0000
Aux_Afr_Spr_Two	1.0000
Aux_Ara_Camel_Archers	1.0000
Aux_Ara_Camel_Spear	1.0000
Aux_Ara_Cav	1.0000
Aux_Ara_Spr	1.0000
Aux_Ara_Spr_Two	1.0000
Aux_Bac_Hillmen	1.0000
Aux_Bac_Hillmen_Two	1.0000
Aux_Bac_Light_Horse	1.0000
Aux_Bri_Scout_Riders	1.0000
Aux_Bri_Slingers	1.0000
Aux_Bri_Slingers_Three	1.0000
Aux_Bri_Spear_Band	1.0000
Aux_Bri_Spear_Band_Two	1.0000
Aux_Cav	1.0000
Aux_Cel_Axe_Warriors	1.0000
Aux_Cel_Axe_Warriors_Two	1.0000
Aux_Cel_Light_Horse	1.0000
Aux_Cel_Skirm	1.0000
Aux_Cel_Skirm_Three	1.0000
Aux_Cel_Warriors	1.0000
