category	ground_type	speed
#unit_ground_type_movement_modifiers_tables;0;db/unit_ground_type_movement_modifiers_tables/unit_ground_type_movement_modifiers		
artillery	deep_water	0.4000
cavalry	deep_water	0.4000
elephants	deep_water	0.4000
inf_melee	deep_water	0.4000
inf_ranged	deep_water	0.4000
artillery	forest	0.8000
cavalry	forest	0.8000
elephants	forest	0.8000
inf_melee	forest	0.8000
inf_ranged	forest	0.8000
artillery	grass	1.0000
cavalry	grass	1.0000
elephants	grass	1.0000
inf_melee	grass	1.0000
inf_ranged	grass	1.0000
artillery	mud	1.0000
cavalry	mud	1.0000
elephants	mud	1.0000
inf_melee	mud	1.0000
inf_ranged	mud	1.0000
artillery	road	1.5000
cavalry	road	1.5000
elephants	road	1.5000
inf_melee	road	1.5000
inf_ranged	road	1.5000
artillery	rock	0.6000
cavalry	rock	0.6000
elephants	rock	0.6000
inf_melee	rock	0.6000
inf_ranged	rock	0.6000
artillery	sand	1.0000
cavalry	sand	1.0000
elephants	sand	1.0000
inf_melee	sand	1.0000
inf_ranged	sand	1.0000
artillery	scrub	0.9000
cavalry	scrub	0.9000
elephants	scrub	0.9000
inf_melee	scrub	0.9000
inf_ranged	scrub	0.9000
artillery	shallow_water	0.6500
cavalry	shallow_water	0.6500
elephants	shallow_water	0.6500
inf_melee	shallow_water	0.6500
inf_ranged	shallow_water	0.6500
artillery	sharp_stones	0.0500
cavalry	sharp_stones	0.1000
elephants	sharp_stones	0.2000
inf_melee	sharp_stones	0.1500
inf_ranged	sharp_stones	0.1500
artillery	snow	0.8000
cavalry	snow	0.8000
elephants	snow	0.8000
inf_melee	snow	0.8000
inf_ranged	snow	0.8000
artillery	wooden_floor	1.0000
cavalry	wooden_floor	1.0000
elephants	wooden_floor	1.0000
inf_melee	wooden_floor	1.0000
inf_ranged	wooden_floor	1.0000
