unit_key	technology_key
#unit_required_technology_junctions_tables;0;db/unit_required_technology_junctions_tables/unit_required_technology_junctions	
Rom_Evocati_Cohort	rom_roman_military_management_professional_soldiery
Rom_Evocati_Six_Lft_Aft	rom_roman_military_management_professional_soldiery
Rom_Legionaries_Four	rom_roman_military_management_cohort_organisation
Rom_Legionary_Cohort_Four	rom_roman_military_management_professional_soldiery
Rom_Vet_Legionaries_Lft_Aft	rom_roman_military_management_cohort_organisation
Rom_Vet_Legionaries	rom_roman_military_management_cohort_organisation
inv_etr_ballista	inv_tarchuna_military_strategy_to_borrow_a_catapult
inv_etr_polybolos	inv_tarchuna_military_strategy_to_borrow_a_catapult
inv_gre_ballista_syracuse	inv_syracuse_military_strategiky_master_and_inventor
inv_gre_ballista_taranto	inv_taranto_military_strategiky_to_borrow_a_catapult
inv_gre_polybolos_syracuse	inv_syracuse_military_strategiky_master_and_inventor
inv_gre_polybolos_taranto	inv_taranto_military_strategiky_to_borrow_a_catapult
inv_iol_ballista	inv_iolei_military_strength_arrowheads_of_many_sorts
inv_iol_polybolos	inv_iolei_military_strength_arrowheads_of_many_sorts
inv_rom_ballista	inv_rome_military_via_strategematum_to_borrow_a_catapult
inv_rom_polybolos	inv_rome_military_via_strategematum_to_borrow_a_catapult
inv_sam_ballista	inv_samnites_military_via_strategematum_to_borrow_a_catapult
inv_sam_polybolos	inv_samnites_military_via_strategematum_to_borrow_a_catapult
inv_syr_giant_ballista	inv_syracuse_military_strategiky_master_and_inventor
