unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;0;db/unit_set_to_unit_junctions_tables/unit_set_to_unit_junctions					
			3c_Ala_Alani_Royal_Horses_commander	3c_commander_units	false
			3c_Ala_Heavy_Assault_Raider_commander	3c_commander_units	false
			3c_Ala_Medium_Missile_Raider_commander	3c_commander_units	false
			3c_Ala_Noble_Steppe_Cataphracts_commander	3c_commander_units	false
			3c_Ala_Steppe_Cataphract_Archers_commander	3c_commander_units	false
			3c_Ara_Arabian_Camel_Archers_commander	3c_commander_units	false
			3c_Ara_Arabian_Nobles_commander	3c_commander_units	false
			3c_Ara_Assault_Trieres_commander	3c_commander_units	false
			3c_Arm_Assault_Tetreres_commander	3c_commander_units	false
			3c_Arm_Azat_Guard_commander	3c_commander_units	false
			3c_Arm_Azat_Knights_commander	3c_commander_units	false
			3c_Arm_Noble_Armenian_Archers_commander	3c_commander_units	false
			3c_Arm_Noble_Cataphracts_commander	3c_commander_units	false
			3c_Arm_Noble_Horse_Archers_commander	3c_commander_units	false
			3c_Arm_Tower_Penteres_commander	3c_commander_units	false
			3c_Cal_Armoured_Chariots_commander	3c_commander_units	false
			3c_Cal_Caledonian_Heroic_Riders_commander	3c_commander_units	false
			3c_Cal_Caledonian_Oathsworn_commander	3c_commander_units	false
			3c_Cal_Heavy_Assault_Raider_commander	3c_commander_units	false
			3c_Cal_Medium_Assault_Raider_commander	3c_commander_units	false
			3c_Cel_Celtic_Nobles_commander	3c_commander_units	false
			3c_Cel_Chariots_commander	3c_commander_units	false
			3c_Cel_Heavy_Assault_Raider_commander	3c_commander_units	false
			3c_Eas_Assault_Trieres_commander	3c_commander_units	false
			3c_Eas_Eastern_Cataphracts_commander	3c_commander_units	false
			3c_Eas_Eastern_Nobles_commander	3c_commander_units	false
			3c_Gal_Armoured_Chariots_commander	3c_commander_units	false
			3c_Gal_Assault_Quadreme_commander	3c_commander_units	false
			3c_Gal_Gallic_Imperial_Guard_commander	3c_commander_units	false
			3c_Ger_Armoured_Germanic_Swordsmen_commander	3c_commander_units	false
			3c_Ger_Germanic_Nobles_commander	3c_commander_units	false
			3c_Ger_Heavy_Assault_Raider_commander	3c_commander_units	false
			3c_Goth_Greuthungi_Elite_Spears_commander	3c_commander_units	false
