key	close_formation_spacing_horizontal	close_formation_spacing_variation	close_formation_spacing_vertical	dismounted_close_formation_spacing_horizontal	dismounted_close_formation_spacing_variation	dismounted_close_formation_spacing_vertical	dismounted_loose_formation_spacing_horizontal	dismounted_loose_formation_spacing_variation	dismounted_loose_formation_spacing_vertical	horde	loose_formation_spacing_horizontal	loose_formation_spacing_variation	loose_formation_spacing_vertical
#unit_spacings_tables;2;db/unit_spacings_tables/unit_spacings													
animals	2.6000	0.6000	3.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	false	3.6000	1.0000	4.2000
artillery	10.0000	0.0000	12.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	false	10.0000	0.0000	12.0000
cav_melee	1.8000	0.6000	3.5000	1.2000	0.2000	1.2000	2.0000	0.5000	2.0000	false	2.8000	0.8000	5.0000
cav_roman	1.8000	0.4000	3.5000	1.2000	0.2000	1.2000	2.0000	0.5000	2.0000	false	2.8000	0.8000	5.0000
cavalry	2.0000	0.0000	3.0000	1.0000	0.0000	1.0000	2.0000	0.0000	2.0000	false	3.0000	0.0000	4.0000
chariot	8.0000	1.0000	10.0000	1.0000	0.0000	1.0000	2.0000	0.0000	2.0000	false	10.0000	0.0000	14.0000
elephant	6.0000	2.0000	8.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	false	10.0000	4.0000	12.0000
falx_inf	1.4000	0.6000	1.4000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	false	1.0000	1.0000	1.0000
giant_artillery	16.0000	0.0000	12.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	false	16.0000	0.0000	12.0000
infantry	1.1000	0.1000	1.1000	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000	false	2.0000	0.0000	2.0000
melee_inf_barb	1.2000	0.2500	1.2000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	true	2.0000	0.6000	2.0000
melee_inf_roman	1.1000	0.0900	1.1000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	false	2.0000	0.4000	2.0000
melee_inf_roman_recruits	1.1000	0.3500	1.5000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	false	2.0000	1.0000	2.0000
missile_cav	2.5000	0.9000	4.0000	1.2000	1.0000	1.0000	1.0000	1.0000	1.0000	false	2.8000	0.8000	5.0000
missile_inf	1.8000	0.7500	1.8000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	false	3.6000	1.5000	3.6000
pikemen	1.0000	0.1000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	false	1.9000	0.5000	1.9000
ship	15.0000	50.0000	55.0000	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000	false	10.0000	50.0000	10.0000
ship_eight	49.0000	50.0000	98.0000	1.0000	1.0000	1.0000	1.0000	0.0000	55.0000	false	10.0000	50.0000	10.0000
ship_five	38.0000	50.0000	76.0000	1.0000	1.0000	1.0000	1.0000	0.0000	55.0000	false	10.0000	50.0000	10.0000
ship_four	33.0000	50.0000	66.0000	1.0000	1.0000	1.0000	1.0000	0.0000	55.0000	false	10.0000	50.0000	10.0000
ship_heavy_raider	32.0000	50.0000	64.0000	1.0000	1.0000	1.0000	1.0000	0.0000	55.0000	false	10.0000	50.0000	10.0000
ship_medium_raider	29.0000	50.0000	58.0000	1.0000	1.0000	1.0000	1.0000	0.0000	55.0000	false	10.0000	50.0000	10.0000
ship_one_halfer	21.5000	50.0000	43.0000	1.0000	1.0000	1.0000	1.0000	0.0000	55.0000	false	10.0000	50.0000	10.0000
ship_raider	24.0000	50.0000	48.0000	1.0000	1.0000	1.0000	1.0000	0.0000	55.0000	false	10.0000	50.0000	10.0000
ship_seven	46.0000	50.0000	92.0000	1.0000	1.0000	1.0000	1.0000	0.0000	55.0000	false	10.0000	50.0000	10.0000
ship_six	40.0000	50.0000	80.0000	1.0000	1.0000	1.0000	1.0000	0.0000	55.0000	false	10.0000	50.0000	10.0000
ship_three	28.0000	50.0000	56.0000	1.0000	1.0000	1.0000	1.0000	0.0000	55.0000	false	10.0000	50.0000	10.0000
ship_two	24.0000	50.0000	48.0000	1.0000	1.0000	1.0000	1.0000	0.0000	55.0000	false	10.0000	50.0000	10.0000
ship_two_halfer	30.0000	50.0000	60.0000	1.0000	1.0000	1.0000	1.0000	0.0000	55.0000	false	10.0000	50.0000	10.0000
spear_inf	1.1000	0.0900	1.1000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	false	1.9000	0.5000	1.9000
