key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	can_autotrigger	target_friends	target_enemies	target_ground	target_intercept_range	assume_specific_behaviour	clear_current_order	wind_up_time	passive	unique_id
#unit_special_abilities_tables;16;db/unit_special_abilities_tables/unit_special_abilities																				
a_mp_test_1	60.0000	120.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	false	0.0000		false	0.0000	false	0
a_mp_test_10	15.0000	10.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	false	0.0000		false	0.0000	false	1
a_mp_test_11	10.0000	12.0000	-1	40.0000	true	-1	0	false	-1.0000		false	false	false	false	0.0000		false	0.0000	false	2
a_mp_test_12	8.0000	10.0000	-1	40.0000	true	-1	0	false	-1.0000		false	false	false	false	0.0000		false	0.0000	false	3
a_mp_test_13	12.0000	60.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	false	0.0000		false	0.0000	false	4
a_mp_test_14	4.0000	20.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	false	0.0000		false	0.0000	false	5
a_mp_test_15	20.0000	60.0000	-1	20.0000	false	0	-1	true	-1.0000		false	false	false	false	0.0000	cantabrian_circle	true	0.0000	false	6
a_mp_test_16	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	false	0.0000		false	0.0000	false	7
a_mp_test_17	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	false	0.0000		false	0.0000	false	8
a_mp_test_2	6.0000	60.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	false	0.0000	manual_charge	false	0.0000	false	9
a_mp_test_3	10.0000	120.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	false	0.0000	manual_charge	false	0.0000	false	10
a_mp_test_4	10.0000	120.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	false	0.0000	manual_charge	false	0.0000	false	11
