xp_level	melee_attack	melee_defense	core_reloading_skill	morale	core_marksmanship	fatigue	mp_fixed_cost	mp_experience_cost_multiplier
#unit_stats_land_experience_bonuses_tables;0;db/unit_stats_land_experience_bonuses_tables/unit_stats_land_experience_bonuses								
0	0	0	0	0	0	0	0	1.0000
1	1	1	2	1	2	0	10	1.1000
2	2	2	4	1	4	0	20	1.2000
3	3	2	6	2	6	0	35	1.3000
4	4	3	8	3	8	0	55	1.4000
5	4	5	10	3	10	-1	75	1.5000
6	5	5	12	4	12	-1	100	1.6000
7	6	6	14	4	14	-2	120	1.7000
8	6	7	16	5	16	-2	150	1.8000
9	7	7	18	6	18	-3	180	1.9000
