faction	unit	name	variant	height_variation	height_scale	unit_card
#unit_variants_tables;4;db/unit_variants_tables/unit_variants						
	3c_Afr_Ballista	3c_Afr_Ballista	Afr_Art_Crew	0.0750	1.0000	3c_Ballista
	3c_Afr_Ballista_Bastion	3c_Afr_Ballista_Bastion	Afr_Art_Crew	0.0750	1.0000	3c_Ballista
	3c_Afr_Cheiroballistra	3c_Afr_Cheiroballistra	Afr_Art_Crew	0.0750	1.0000	3c_Cheiroballistra
	3c_Afr_Giant_Ballista	3c_Afr_Giant_Ballista	Afr_Art_Crew	0.0750	1.0000	3c_Giant_Ballista
	3c_Afr_Large_Onager	3c_Afr_Large_Onager	Afr_Art_Crew	0.0750	1.0000	3c_Large_Onager
	3c_Afr_Onager	3c_Afr_Onager	Afr_Art_Crew	0.0750	1.0000	3c_Onager
	3c_Afr_Onager_Bastion	3c_Afr_Onager_Bastion	Afr_Art_Crew	0.0750	1.0000	3c_Onager
	3c_Afr_Scorpion	3c_Afr_Scorpion	Afr_Art_Crew	0.0750	1.0000	3c_Scorpion
	3c_Afr_Scorpion_Bastion	3c_Afr_Scorpion_Bastion	Afr_Art_Crew	0.0750	1.0000	3c_Polybalos
	3c_Ala_Alani_Amazonian_Archers	3c_Ala_Alani_Amazonian_Archers	3c_Ala_Alani_Amazonian_Archers	0.0750	1.0000	3c_Ala_Alani_Amazonian_Archers
	3c_Ala_Alani_Axe_Cavalry	3c_Ala_Alani_Axe_Cavalry	3c_Ala_Alani_Axe_Cavalry	0.0750	1.0000	3c_Ala_Alani_Axe_Cavalry
	3c_Ala_Alani_Axemen	3c_Ala_Alani_Axemen	3c_Ala_Alani_Axemen	0.0750	1.0000	3c_Ala_Alani_RH_axemen
	3c_Ala_Alani_Horse_Skirmishers	3c_Ala_Alani_Horse_Skirmishers	3c_Ala_Alani_Horse_Skirmishers	0.0750	1.0000	3c_Ala_Alani_Horse_Skirmishers
	3c_Ala_Alani_Horsemen	3c_Ala_Alani_Horsemen	3c_Ala_Alani_Horsemen	0.0750	1.0000	3c_Ala_Alani_Horsemen
	3c_Ala_Alani_Nobles	3c_Ala_Alani_Nobles	3c_Ala_Alani_Nobles	0.0750	1.0000	3c_Ala_Alani_Nobles
	3c_Ala_Alani_Noblewomen_Archers	3c_Ala_Alani_Noblewomen_Archers	3c_Ala_Alani_Noblewomen_Archers	0.0750	1.0000	3c_Ala_Alani_Noblewomen_Archers
	3c_Ala_Alani_Riders	3c_Ala_Alani_Riders	3c_Ala_Alani_Riders	0.0750	1.0000	3c_Ala_Alani_Riders
	3c_Ala_Alani_Royal_Horses	3c_Ala_Alani_Royal_Horses	3c_Ala_Alani_Royal_Horses	0.0750	1.0000	3c_Ala_Alani_Royal_Horses
	3c_Ala_Alani_Royal_Horses_comm	3c_Ala_Alani_Royal_Horses_comm	3c_Ala_Alani_Royal_Horses	0.0750	1.0000	3c_Ala_Alani_Royal_Horses
	3c_Ala_Alani_Swordsmen	3c_Ala_Alani_Swordsmen	3c_Ala_Alani_Swordsmen	0.0750	1.0000	3c_Ala_Alani_RH_swordsmen
	3c_Ala_Armoured_Axe_Warriors	3c_Ala_Armoured_Axe_Warriors	3c_Ala_Armoured_Axe_Warriors	0.0750	1.0000	3c_Ala_Armoured_RH_axe_Warriors
	3c_Ala_Armoured_Steppe_Lancers	3c_Ala_Armoured_Steppe_Lancers	3c_Ala_Armoured_Steppe_Lancers	0.0750	1.0000	3c_Ala_Armoured_Steppe_Lancers
