faction	general_unit	unit	siege_unit_attacker	siege_unit_defender
#units_custom_battle_permissions_tables;4;db/units_custom_battle_permissions_tables/units_custom_battle_permissions				
3c_alani	false	3c_Ala_Alani_Amazonian_Archers	true	true
3c_alani	false	3c_Ala_Alani_Axe_Cavalry	true	true
3c_alani	false	3c_Ala_Alani_Axemen	true	true
3c_alani	false	3c_Ala_Alani_Horse_Skirmishers	true	true
3c_alani	false	3c_Ala_Alani_Horsemen	true	true
3c_alani	false	3c_Ala_Alani_Nobles	true	true
3c_alani	false	3c_Ala_Alani_Noblewomen_Archers	true	true
3c_alani	false	3c_Ala_Alani_Riders	true	true
3c_alani	false	3c_Ala_Alani_Royal_Horses	true	true
3c_alani	true	3c_Ala_Alani_Royal_Horses	true	true
3c_alani	false	3c_Ala_Alani_Swordsmen	true	true
3c_alani	false	3c_Ala_Armoured_Axe_Warriors	true	true
3c_alani	false	3c_Ala_Armoured_Steppe_Lancers	true	true
3c_alani	false	3c_Ala_Armoured_Steppe_Warriors	true	true
3c_alani	false	3c_Ala_Assault_Raider	true	true
3c_alani	false	3c_Ala_Heavy_Assault_Raider	true	true
3c_alani	true	3c_Ala_Heavy_Assault_Raider	true	true
3c_alani	false	3c_Ala_Medium_Assault_Raider	true	true
3c_alani	false	3c_Ala_Medium_Missile_Raider	true	true
3c_alani	true	3c_Ala_Medium_Missile_Raider	true	true
3c_alani	false	3c_Ala_Missile_Raider	true	true
3c_alani	false	3c_Ala_Noble_Steppe_Cataphracts	true	true
3c_alani	true	3c_Ala_Noble_Steppe_Cataphracts_commander	true	true
3c_alani	false	3c_Ala_Noble_Steppe_Lancers	true	true
3c_alani	false	3c_Ala_Steppe_Cataphract_Archers	true	true
3c_alani	true	3c_Ala_Steppe_Cataphract_Archers	true	true
3c_alani	false	3c_Ala_Steppe_Cavalry	true	true
3c_alani	false	3c_Ala_Steppe_Horse_Archers	true	true
3c_alani	false	3c_Ala_Steppe_Horse_Skirmishers	true	true
3c_alani	false	3c_Ala_Steppe_Lancers	true	true
3c_alani	false	3c_Ala_Steppe_Warband	true	true
3c_alani	false	3c_Ala_Taifali_Cavalry	true	true
3c_gothi	false	3c_Ala_Taifali_Cavalry	true	true
3c_marcomanni	false	3c_Ala_Taifali_Cavalry	true	true
3c_armenia	false	3c_Arm_Armenian_Archers	true	true
3c_armenia	false	3c_Arm_Armenian_Pikemen	true	true
3c_armenia	false	3c_Arm_Armenian_Slingers	true	true
3c_armenia	false	3c_Arm_Armenian_Spearmen	true	true
3c_armenia	false	3c_Arm_Armoured_Armenian_Archers	true	true
3c_armenia	false	3c_Arm_Armoured_Armenian_Pikemen	true	true
3c_armenia	false	3c_Arm_Armoured_Axe_Warriors	true	true
3c_armenia	false	3c_Arm_Armoured_Horse_Archers	true	true
3c_armenia	false	3c_Arm_Artillery_Penteres	true	true
3c_armenia	false	3c_Arm_Assault_Dieres	true	true
3c_armenia	false	3c_Arm_Assault_Tetreres	true	true
3c_armenia	true	3c_Arm_Assault_Tetreres	true	true
3c_armenia	false	3c_Arm_Azat_Guard	true	true
3c_armenia	true	3c_Arm_Azat_Guard	true	true
3c_armenia	false	3c_Arm_Azat_Knights	true	true
3c_armenia	true	3c_Arm_Azat_Knights_commander	true	true
3c_armenia	false	3c_Arm_Fire_Pot_Dieres	true	true
3c_armenia	false	3c_Arm_Light_Artillery_Penteres	true	true
3c_armenia	false	3c_Arm_Missile_Penteres	true	true
3c_armenia	false	3c_Arm_Missile_Trieres	true	true
3c_armenia	false	3c_Arm_Noble_Armenian_Archers	true	true
3c_armenia	true	3c_Arm_Noble_Armenian_Archers	true	true
3c_armenia	false	3c_Arm_Noble_Armenian_Cavalry	true	true
3c_armenia	false	3c_Arm_Noble_Cataphracts	true	true
3c_armenia	true	3c_Arm_Noble_Cataphracts	true	true
3c_armenia	false	3c_Arm_Noble_Horse_Archers	true	true
3c_armenia	true	3c_Arm_Noble_Horse_Archers	true	true
3c_armenia	false	3c_Arm_Persian_Spearmen	true	true
3c_armenia	false	3c_Arm_Pursuit_Trihemiolia	true	true
3c_armenia	false	3c_Arm_Raiding_Hemiolia	true	true
3c_armenia	false	3c_Arm_Scorpion_Penteres	true	true
3c_armenia	false	3c_Arm_Scorpion_Trieres	true	true
3c_armenia	false	3c_Arm_Tower_Penteres	true	true
3c_armenia	true	3c_Arm_Tower_Penteres	true	true
3c_caledoni	false	3c_Bri_Ballista	true	false
3c_caledoni	false	3c_Bri_Cheiroballistra	true	false
3c_caledoni	false	3c_Bri_Giant_Ballista	true	false
3c_caledoni	false	3c_Bri_Large_Onager	true	false
3c_caledoni	false	3c_Bri_Onager	true	false
3c_caledoni	false	3c_Cal_Ambushers	true	true
3c_caledoni	false	3c_Cal_Armoured_Chariots	true	true
3c_caledoni	true	3c_Cal_Armoured_Chariots	true	true
3c_caledoni	false	3c_Cal_Assault_Raider	true	true
3c_caledoni	false	3c_Cal_Caledonian_Heroic_Riders	true	true
3c_caledoni	true	3c_Cal_Caledonian_Heroic_Riders_commander	true	true
3c_caledoni	false	3c_Cal_Caledonian_Oathsworn	true	true
3c_caledoni	true	3c_Cal_Caledonian_Oathsworn_commander	true	true
3c_caledoni	false	3c_Cal_Caledonian_Spear_Wall	true	true
3c_caledoni	false	3c_Cal_Chosen_Sword_Band	true	true
3c_caledoni	false	3c_Cal_Elite_Highland_Archers	true	true
3c_caledoni	false	3c_Cal_Heavy_Assault_Raider	true	true
3c_caledoni	true	3c_Cal_Heavy_Assault_Raider	true	true
3c_caledoni	false	3c_Cal_Highland_Archers	true	true
3c_caledoni	false	3c_Cal_Medium_Assault_Raider	true	true
3c_caledoni	true	3c_Cal_Medium_Assault_Raider	true	true
3c_caledoni	false	3c_Cal_Medium_Missile_Raider	true	true
3c_caledoni	false	3c_Cal_Missile_Raider	true	true
3c_caledoni	false	3c_Cal_Scatha_Shadows	true	true
3c_caledoni	false	3c_Cel_Celtic_Archers	true	true
3c_caledoni	false	3c_Cel_Celtic_Horse_Skirmishers	true	true
3c_caledoni	false	3c_Cel_Celtic_Horsemen	true	true
3c_caledoni	false	3c_Cel_Celtic_Levy	true	true
3c_caledoni	false	3c_Cel_Celtic_Nobles	true	true
3c_caledoni	false	3c_Cel_Celtic_Skirmishers	true	true
3c_caledoni	false	3c_Cel_Celtic_Spearmen	true	true
3c_caledoni	false	3c_Cel_Celtic_Sword_Band	true	true
3c_caledoni	false	3c_Cel_Celtic_Swordsmen	true	true
3c_caledoni	false	3c_Cel_Celtic_Warhounds	true	true
3c_caledoni	false	3c_Cel_Chariots	true	true
3c_caledoni	false	3c_Cel_Painted_Warriors	true	true
3c_caledoni	false	3c_Cel_Wolfhounds	true	true
3c_armenia	false	3c_Eas_Ballista	true	false
3c_sassanid	false	3c_Eas_Ballista	true	false
3c_armenia	false	3c_Eas_Cheiroballistra	true	true
3c_sassanid	false	3c_Eas_Cheiroballistra	true	true
3c_armenia	false	3c_Eas_Eastern_Axe_Warriors	true	true
3c_armenia	false	3c_Eas_Eastern_Bowmen	true	true
3c_armenia	false	3c_Eas_Eastern_Cataphracts	true	true
3c_armenia	false	3c_Eas_Eastern_Cavalry	true	true
3c_armenia	false	3c_Eas_Eastern_Horse_Archers	true	true
3c_armenia	false	3c_Eas_Eastern_Horse_Skirmishers	true	true
3c_armenia	false	3c_Eas_Eastern_Infantry	true	true
3c_armenia	false	3c_Eas_Eastern_Spearmen	true	true
3c_armenia	false	3c_Eas_Giant_Ballista	true	false
