video_name	video_type	audio_tracks	script_ref
#videos_tables;2;db/videos_tables/videos			
Corei7_Intro	FULLSCREEN_INTRO	1	0
DEMO_MOVIE	FULLSCREEN_INTRO	1	0
DEMO_SLATE	FULLSCREEN_INTRO	1	0
Demo_Gameplay_Trailer	CAMPAIGN_ASSASSINATION	6	0
INTEL_LOGO_ENGLISH	FULLSCREEN_INTRO	1	0
INTRO	FULLSCREEN_INTRO	1	0
RomeII/Battle_Basic_2	VIDEO_TUTORIAL	1	0
RomeII/Battle_advanced	VIDEO_TUTORIAL	1	0
RomeII/caesar_in_gaul_gallic_uprising	CAMPAIGN_ASSASSINATION	1	0
RomeII/caesar_in_gaul_intro	FULLSCREEN_INTRO	1	16
RomeII/caesar_in_gaul_roman_intervention	CAMPAIGN_ASSASSINATION	1	0
RomeII/civil_war_begin_barb	CAMPAIGN_ASSASSINATION	1	2
RomeII/civil_war_begin_east_egypt	CAMPAIGN_ASSASSINATION	1	2
RomeII/civil_war_begin_rome_hellen	CAMPAIGN_ASSASSINATION	1	2
RomeII/civil_war_end_barb	CAMPAIGN_ASSASSINATION	1	3
RomeII/civil_war_end_east	CAMPAIGN_ASSASSINATION	1	4
RomeII/civil_war_end_egypt	CAMPAIGN_ASSASSINATION	1	5
RomeII/civil_war_end_hellen	CAMPAIGN_ASSASSINATION	1	6
RomeII/empire_divided_intro	FULLSCREEN_INTRO	1	22
RomeII/faction_win_barb	CAMPAIGN_WIN	1	0
RomeII/faction_win_dk_kush	CAMPAIGN_WIN	1	0
RomeII/faction_win_dk_nab_sab_mas	CAMPAIGN_WIN	1	0
RomeII/faction_win_east	CAMPAIGN_WIN	1	0
RomeII/faction_win_ed_alani	CAMPAIGN_WIN	1	0
RomeII/faction_win_ed_armenia	CAMPAIGN_WIN	1	0
RomeII/faction_win_ed_gallic_rome	CAMPAIGN_WIN	1	0
RomeII/faction_win_ed_gothi	CAMPAIGN_WIN	1	0
RomeII/faction_win_ed_palmyra	CAMPAIGN_WIN	1	0
RomeII/faction_win_ed_rome	CAMPAIGN_WIN	1	0
RomeII/faction_win_ed_sassinid	CAMPAIGN_WIN	1	0
RomeII/faction_win_egypt	CAMPAIGN_WIN	1	0
RomeII/faction_win_hellen	CAMPAIGN_WIN	1	0
RomeII/faction_win_inv_gallic	CAMPAIGN_WIN	1	0
RomeII/faction_win_inv_greek	CAMPAIGN_WIN	1	0
RomeII/faction_win_inv_iolei	CAMPAIGN_WIN	1	0
RomeII/faction_win_inv_rome	CAMPAIGN_WIN	1	0
RomeII/faction_win_inv_samnites	CAMPAIGN_WIN	1	0
RomeII/faction_win_inv_tarchuna	CAMPAIGN_WIN	1	0
RomeII/faction_win_rome	CAMPAIGN_WIN	1	0
RomeII/general_death_africa_fem	CAMPAIGN_ASSASSINATION	1	0
RomeII/general_death_barb	CAMPAIGN_ASSASSINATION	1	0
RomeII/general_death_barb_fem	CAMPAIGN_ASSASSINATION	1	0
RomeII/general_death_east	CAMPAIGN_ASSASSINATION	1	0
RomeII/general_death_east_fem	CAMPAIGN_ASSASSINATION	1	0
RomeII/general_death_egypt	CAMPAIGN_ASSASSINATION	1	0
RomeII/general_death_egypt_fem	CAMPAIGN_ASSASSINATION	1	0
RomeII/general_death_hellen	CAMPAIGN_ASSASSINATION	1	0
RomeII/general_death_hellen_fem	CAMPAIGN_ASSASSINATION	1	0
RomeII/general_death_rome	CAMPAIGN_ASSASSINATION	1	0
RomeII/general_death_rome_fem	CAMPAIGN_ASSASSINATION	1	0
RomeII/hangates_carthage_win	FULLSCREEN_INTRO	1	0
RomeII/hangates_intro	FULLSCREEN_INTRO	1	17
RomeII/hangates_rome_win	FULLSCREEN_INTRO	1	0
RomeII/imp_aug_intro	FULLSCREEN_INTRO	1	20
RomeII/imp_aug_win_ant	CAMPAIGN_WIN	1	0
RomeII/imp_aug_win_lep	CAMPAIGN_WIN	1	0
RomeII/imp_aug_win_oct	CAMPAIGN_WIN	1	0
RomeII/imp_aug_win_pom	CAMPAIGN_WIN	1	0
RomeII/invasion_intro	FULLSCREEN_INTRO	1	23
RomeII/prologue	FULLSCREEN_INTRO	1	13
RomeII/rome_captured_barb	CAMPAIGN_ASSASSINATION	1	0
RomeII/rome_captured_east	CAMPAIGN_ASSASSINATION	1	0
RomeII/rome_captured_egypt	CAMPAIGN_ASSASSINATION	1	0
RomeII/rome_captured_hellen	CAMPAIGN_ASSASSINATION	1	0
RomeII/rome_captured_rome_attacker	CAMPAIGN_ASSASSINATION	1	0
RomeII/rome_captured_rome_defender	CAMPAIGN_ASSASSINATION	1	0
RomeII/slave_uprising_begin_barb	CAMPAIGN_ASSASSINATION	1	1
RomeII/slave_uprising_begin_east_egypt	CAMPAIGN_ASSASSINATION	1	8
RomeII/slave_uprising_begin_rome_hellen	CAMPAIGN_ASSASSINATION	1	9
RomeII/slave_uprising_end_barb	CAMPAIGN_ASSASSINATION	1	10
RomeII/slave_uprising_end_east_egypt	CAMPAIGN_ASSASSINATION	1	11
RomeII/slave_uprising_end_rome_hellen	CAMPAIGN_ASSASSINATION	1	12
RomeII/triumph_1	CAMPAIGN_ASSASSINATION	1	0
RomeII/triumph_2	CAMPAIGN_ASSASSINATION	1	0
RomeII/triumph_3	CAMPAIGN_ASSASSINATION	1	0
RomeII/wrath_of_sparta_intro	FULLSCREEN_INTRO	1	21
SEGA_logo_sting_HD	FULLSCREEN_INTRO	1	0
advert1	FULLSCREEN_INTRO	1	0
