key	filename	range	animated
#warscape_animated_lod_tables;1;db/warscape_animated_lod_tables/warscape_animated_lod			
-1059578823	RigidModels\campaign\trade_models\camel_trader01_anim.rigid_model_v2	0.0000	campaign_trader_villager
-1631058337	RigidModels\Naval\Variant\oar_R_raise_anim.rigid_model_v2	0.0000	oar_R_anim_raise
-1683851084	RigidModels\Naval\Variant\oar_R_lower_anim.rigid_model_v2	0.0000	oar_R_anim_lower
-1855534954	RigidModels\Naval\Variant\oar_L_lower_anim.rigid_model_v2	0.0000	oar_L_anim_lower
-1910630381	RigidModels\CampaignTradeRoutes\trade_camel_lead.rigid_model_animation	0.0000	trade_camel_lead
1192635548	RigidModels/3DIndicators/target_marker.rigid_model_animation	0.0000	target_marker
1208454631	RigidModels/CampaignPieces/campaign_ship_model_2.animatable_rigid_model	0.0000	campaign_ship2
1214560264	RigidModels\campaign\trade_models\sea_trade_anim.rigid_model_v2	0.0000	campaign_trader_trade_ship
1219078168	RigidModels\campaign\trade_models\camel_trader01_anim.rigid_model_v2	0.0000	campaign_trader_trade_cart
1229678891	RigidModels\Naval\Variant\oar_L_loop_anim.rigid_model_v2	0.0000	oar_L_anim_loop
1230050569	RigidModels\Naval\Variant\oar_L_raise_anim.rigid_model_v2	0.0000	oar_L_anim_raise
1251984794	RigidModels\CampaignTradeRoutes\trade_camel.rigid_model_animation	0.0000	trade_camel
1451105936	RigidModels\Naval\Variant\oar_R_loop_anim.rigid_model_v2	0.0000	oar_R_anim_loop
2146654760	RigidModels\CampaignBuildings\SHO_Region_Specialty_Horses_1_Pastures\campaign_sho_region_specialty_horses_1_pastures_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_horses_1_pastures
2146654767	RigidModels\CampaignBuildings\SHO_Region_Specialty_Horses_2_Breeders\campaign_sho_region_specialty_horses_2_breeders_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_horses_2_breeders
2146654776	RigidModels\CampaignBuildings\SHO_Region_Specialty_Horses_3_Warhorse_Breeders\campaign_sho_region_specialty_horses_3_warhorse_breeders_anim.rigid_model_v2	0.0000	campaign_sho_region_specialty_horses_3_warhorse
