equipment_key	equipment_item
#warscape_equipment_items_tables;2;db/warscape_equipment_items_tables/warscape_equipment_items	
arrow_foot	arrow
arrow_horse	arrow
blinding_grenade	flashbang
bow_east	east_bow
cannon_ball	gen_cannonball
cannon_ramrod	gen_cannon_stoker
cinematic_basket	Basket
cinematic_hoe	Hoe
cinematic_kama	Kama
cinematic_lantern	Lantan
cinematic_umbrella	Umbrella
drumstick1	drumstick1
drumstick2	drumstick2
euro_carbine	euro_carbine
euro_cavalry_sabre	euro_cavalrysabre
euro_tomahawk	euro_tomahawk
euro_wooden_stake	euro_stake
fire_stone	mangonel_balls
firebomb_sling	slingbomb
general_wakizashi	general_wakizashi
musket_ramrod	Ramrod
nap_lance	nap_lance
nobori	Sashimono_nobori
plug_bayonet	gen_plug_bayonet
ring_bayonet	gen_ring_bayonet
rocket	rocket
sashimono_cavalry	Sashimono_cavalry
sashimono_infantry	Sashimono_infantry
seppuku_dagger	seppuku_dagger
shogun_cavalry_equipment	katana_scabbard01
shogun_geisha_dagger	Geisha_dagger
shogun_geisha_fan	Geisha_fan
shogun_infantry_equipment	katana_scabbard01
shogun_katana	katana
shogun_katana_2	katana_variant2
shogun_katana_3	katana_variant3
shogun_katana_scabbard	katana_scabbard01
shogun_long_yari	Long_yari
shogun_monk_staff	monk_staff
shogun_naginata	Naginata
shogun_ninja_flashbang	ninja_flashbang
shogun_ninja_scabbard	ninja_scabbard
shogun_ninja_wakizashi	ninja_Wakizashi
shogun_nodachi	nodachi
shogun_oversized_teppo	OVERSIZED_Teppo
shogun_priest_staff	Christian_Priest
shogun_teppo	Teppo
shogun_wakizashi	Wakizashi
shogun_wakizashi_scabbard	Wakizashi_scabbard
shogun_yari	Yari
shogun_yumi	Yumi
shogun_yumi_2	Yumi_variant2
shogun_yumi_3	Yumi_variant3
shogun_yumi_extended	Yumi_extended
socket_bayonet	gen_socket_bayonet
stool	stool_A
tenkagoken_sword	tenkagoken_sword
torch	torch
warfan	fan_gumbai_dansen
wooden_stake	stake
