key	texture_directory	building_category
#warscape_rigid_tables;2;db/warscape_rigid_tables/warscape_rigid		
10m_block_piece01_destruct01	rigidmodels/buildings/textures	battle_building
20m_block_piece01_destruct01	rigidmodels/buildings/textures	battle_building
3_pillars_piece01_destruct01	rigidmodels/buildings/textures	battle_building
45m_block_piece01_destruct01	rigidmodels/buildings/textures	battle_building
ALL_army_dug_in	RigidModels/CampaignBuildings/CampaignProps/Textures	campaign_template_extra
ALL_army_no_movement_points	RigidModels/CampaignBuildings/CampaignProps/Textures	campaign_template_extra
ALL_port_construction	RigidModels/CampaignBuildings/CampaignProps/Textures	campaign_template_extra
Ep1_city_farm_corn	RigidModels/CampaignBuildings/Jamestown/Textures	campaign_building
Ep1_city_plantation_cotton	RigidModels/CampaignBuildings/Jamestown/Textures	campaign_building
Ep1_city_plantation_tobacco	RigidModels/CampaignBuildings/Jamestown/Textures	campaign_building
Ep1_port_fishery	RigidModels/CampaignBuildings/Jamestown/Textures	campaign_building
Fort_lvl1	RigidModels/CampaignBuildings/Textures	campaign_fort
Fort_lvl2	RigidModels/CampaignBuildings/Textures	campaign_fort
Fort_lvl3	RigidModels/CampaignBuildings/Textures	campaign_fort
JT_city_1_slot	RigidModels/CampaignBuildings/Jamestown/Textures	campaign_template_extra
JT_city_1_slot_buildings	RigidModels/CampaignBuildings/Jamestown/Textures	campaign_template_extra
JT_city_1_slot_fortifications_lvl0	RigidModels/CampaignBuildings/Jamestown/Textures	campaign_template_extra
JT_city_1_slot_together	RigidModels/CampaignBuildings/Jamestown/Textures	campaign_template_extra
Prestige_Arcdetriomphe	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_NavalEngineer	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_Rogalinpalace	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_berlinacademy	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_blenheimpalace	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_bourbon	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_brandenburg	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_capitol	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_dezwaan	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_granja	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_hofburg	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_kaerlskirche	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_konglig	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_kunstkamara	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_lazienki	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_ledreborg	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_osmaniye	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_palaciomadrid	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_polishakademia	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_somersethouse	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_swedishacademy	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_teylersmuseum	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_whitehouse	RigidModels/CampaignBuildings/Textures	campaign_building
Prestige_winterpalace	RigidModels/CampaignBuildings/Textures	campaign_building
Slot_resource_farm_corn	RigidModels/CampaignBuildings/Textures	campaign_building
Slot_resource_farm_wheat	RigidModels/CampaignBuildings/Textures	campaign_building
Slot_resource_plantation_caribbean	RigidModels/CampaignBuildings/Textures	campaign_building
Slot_resource_plantation_cuba	RigidModels/CampaignBuildings/Textures	campaign_building
Slot_resource_plantation_egypt	RigidModels/CampaignBuildings/Textures	campaign_building
Slot_resource_plantation_india_highlands	RigidModels/CampaignBuildings/Textures	campaign_building
Slot_resource_plantation_southern_usa	RigidModels/CampaignBuildings/Textures	campaign_building
Slot_resource_plantation_tropical_humid	RigidModels/CampaignBuildings/Textures	campaign_building
Wall_Asia_End_piece01_destruct01	RigidModels\BattleFieldProps\Textures	battle_misc
Wall_EU_East_End_piece01_destruct01	RigidModels\BattleFieldProps\Textures	battle_misc
Wall_EU_North_End_piece01_destruct01	RigidModels\BattleFieldProps\Textures	battle_misc
Wall_EU_South_End_piece01_destruct01	RigidModels\BattleFieldProps\Textures	battle_misc
Wall_EU_West_End_piece01_destruct01	RigidModels\BattleFieldProps\Textures	battle_misc
acropolis_angled_roof_piece01_destruct01	rigidmodels/buildings/textures	battle_building
acropolis_balastrade_piece01_destruct01	rigidmodels/buildings/textures	battle_building
acropolis_cylindrical_building_piece01_destruct01	rigidmodels/buildings/textures	battle_building
acropolis_foundations_piece01_destruct01	rigidmodels/buildings/textures	battle_building
acropolis_large_temple_piece01_destruct01	rigidmodels/buildings/textures	battle_building
acropolis_long_building_piece01_destruct01	rigidmodels/buildings/textures	battle_building
acropolis_piece01_destruct01	rigidmodels/buildings/textures	battle_building
acropolis_pillars_piece01_destruct01	rigidmodels/buildings/textures	battle_building
acropolis_small_long_piece01_destruct01	rigidmodels/buildings/textures	battle_building
acropolis_small_temple_piece01_destruct01	rigidmodels/buildings/textures	battle_building
acropolis_statue_piece01_destruct01	rigidmodels/buildings/textures	battle_building
acropolis_tiny_temple_piece01_destruct01	rigidmodels/buildings/textures	battle_building
agent_ID	RigidModels\Flags\Textures	campaign_template_extra
agora_base_block_piece01_destruct01	rigidmodels/buildings/textures	battle_building
agora_council_house_piece01_destruct01	rigidmodels/buildings/textures	battle_building
agora_long_building_piece01_destruct01	rigidmodels/buildings/textures	battle_building
agora_piece01_destruct01	rigidmodels/buildings/textures	battle_building
agora_porch_piece01_destruct01	rigidmodels/buildings/textures	battle_building
agora_small_courtyard_piece01_destruct01	rigidmodels/buildings/textures	battle_building
ambush_buildings_marker	RigidModels\WarscapeFrame\ai_hints\Textures	3Dindicators
ambush_forest_marker	RigidModels\WarscapeFrame\ai_hints\Textures	3Dindicators
ampetheatre_base_piece01_destruct01	rigidmodels/buildings/textures	battle_building
ampetheatre_piece01_destruct01	rigidmodels/buildings/textures	battle_building
ampetheatre_seats_piece01_destruct01	rigidmodels/buildings/textures	battle_building
ampetheatre_stage_piece01_destruct01	rigidmodels/buildings/textures	battle_building
army_banner_flag_general	UI/3DUI/textures/default/	incidental
army_banner_flag_heavy	UI/3DUI/textures/default/	incidental
army_banner_flag_light	UI/3DUI/textures/default/	incidental
army_banner_flag_medium	UI/3DUI/textures/default/	incidental
army_banner_flagpole	UI/3DUI/textures/default/	incidental
army_banner_flagpole_building	UI/3DUI/textures/default/	incidental
army_banner_flagpole_crossbar	UI/3DUI/textures/default/	incidental
