underlay_key	filename	file_path	levels
#warscape_underlay_textures_tables;2;db/warscape_underlay_textures_tables/warscape_underlay_textures			
eu_city_diffuse	EU_city_underlays	RigidModels/CampaignBuildings/UnderlayTextures	3
eu_mine_1_diffuse	eu_mine_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	4
eu_plantation_1_diffuse	eu_plantation_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	4
eu_sheep_1_diffuse	eu_sheep_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	6
eu_south_sheep_1_diffuse	eu_south_sheep_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	6
eu_south_wheat_1_diffuse	eu_south_wheat_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	6
eu_town_diffuse	EU_town_underlays	RigidModels/CampaignBuildings/UnderlayTextures	4
eu_vinyard_1_diffuse	eu_vinyard_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	4
eu_wheat_1_diffuse	eu_wheat_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	6
na_corn_1_diffuse	na_corn_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	6
na_mine_1_diffuse	na_mine_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	4
na_plantation_1_diffuse	na_plantation_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	4
ott_mine_1_diffuse	ott_mine_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	4
ott_plantation_1_diffuse	ott_plantation_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	4
ott_ricepaddy_1_diffuse	ott_ricepaddy_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	4
ott_sheep_1_diffuse	ott_sheep_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	6
ott_wheat_1_diffuse	ott_wheat_1_diffuse	RigidModels/CampaignBuildings/UnderlayTextures	6
