key	text	tooltip
#Loc;1;text/db/land_units.loc		
land_units_onscreen_name_inv_carthaginian_spearmen	Native Carthaginian Spearmen	true
land_units_onscreen_name_inv_umbrian_hillmen	Native Umbrian Hillmen	true
land_units_onscreen_name_Eas_Horse_Archers	Horse Archers	true
land_units_onscreen_name_Gre_Massilian_Cav	Massilian Cavalry	true
land_units_onscreen_name_inv_brutii_slingers	Native Bruttii Slingers	true
land_units_onscreen_name_Bac_Horse_Archers	Bactrian Horse Archers	true
land_units_onscreen_name_Ste_Horse_Archers	Steppe Horse Archers	true
land_units_onscreen_name_3c_Aux_Briton_Slingers	Auxiliary Briton Slingers	true
land_units_onscreen_name_3c_Pal_Armoured_Swordsmen	Armoured Swordsmen	true
land_units_onscreen_name_3c_Sas_Immortal_Infantry_Guard	Immortal Infantry Guard	true
land_units_onscreen_name_3c_Num_Numidian_Swordsmen	Numidian Swordsmen	true
land_units_onscreen_name_Dac_Ballista	Dacian Ballista	true
land_units_onscreen_name_Mer_Cel_Axe_Warriors	Mercenary Axe Warriors	true
land_units_onscreen_name_Bac_Peltasts	Bactrian Peltasts	true
land_units_onscreen_name_3c_Sas_Savaran_Cavalry	Savaran Cavalry	true
land_units_onscreen_name_3c_Mer_Persian_Cavalry	Mercenary Persian Cavalry	true
land_units_onscreen_name_3c_Per_Persian_Cavalry	Persian Cavalry	true
land_units_onscreen_name_3c_Ala_Taifali_Cavalry	Taifali Cavalry	true
land_units_onscreen_name_Rom_Ballista_Bastion	Roman Bastion Ballista	true
land_units_onscreen_name_inv_rom_roman_light_hoplites	Roman Light Hoplites	true
land_units_onscreen_name_Mer_Num_Javelinmen	Mercenary Numidian Javelinmen	true
land_units_onscreen_name_Rom_Velites	Velites	true
land_units_onscreen_name_Dac_Skirm	Dacian Skirmishers	true
land_units_onscreen_name_Cel_Skirm	Celtic Skirmishers	true
land_units_onscreen_name_inv_ita_veteran_swordsmen	Italian Veteran Swordsmen	true
land_units_onscreen_name_Bri_Skirm	Briton Skirmishers	true
land_units_onscreen_name_Ibe_Sword	Iberian Swordsmen	true
land_units_onscreen_name_Ita_Sword	Italian Swordsmen	true
land_units_onscreen_name_Mer_Bri_Spear_Band	Mercenary Spear Band	true
land_units_onscreen_name_Ibe_Skirm	Iberian Skirmishers	true
land_units_onscreen_name_Aet_Sword	Swordsmen	true
land_units_onscreen_name_Thr_Skirm	Thracian Skirmishers	true
land_units_onscreen_name_3c_Arm_Azat_Guard	Azat Guard	true
land_units_onscreen_name_inv_umbrian_spearmen	Native Umbrian Spearmen	true
land_units_onscreen_name_3c_Aux_Celtic_Spearmen	Auxiliary Celtic Spearmen	true
land_units_onscreen_name_Eas_Persian_Hoplites	Persian Hoplites	true
land_units_onscreen_name_inv_sen_young_swords	Young Swords	true
land_units_onscreen_name_Ara_Slingers	Slingers	true
land_units_onscreen_name_3c_Gal_Equites_Promoti	Equites Promoti	true
land_units_onscreen_name_3c_Gal_Gallic_Imperial_Guard	Gallic Imperial Guard	true
land_units_onscreen_name_Cel_Ballista_Bastion	Celtic Bastion Ballista	true
land_units_onscreen_name_Pel_Thr_Cav	Thraike Cavalry	true
land_units_onscreen_name_Mer_Egy_Inf	Mercenary Egyptian Infantry	true
land_units_onscreen_name_Mer_Thr_Cav	Mercenary Thracian Cavalry	true
land_units_onscreen_name_3c_Ste_Steppe_War_Dogs	Steppe War Dogs	true
land_units_onscreen_name_Ill_Hoplites	Illyrian Hoplites	true
land_units_onscreen_name_Pel_Hoplites	Hoplites	true
land_units_onscreen_name_Ibe_Scutarii	Scutarii	true
land_units_onscreen_name_Bac_Hillmen	Bactrian Hillmen	true
land_units_onscreen_name_Car_Citizen_Militia	Citizen Militia	true
land_units_onscreen_name_inv_etr_city_guard	Etruscan City Guard	true
land_units_onscreen_name_Eas_Hillmen	Hillmen	true
land_units_onscreen_name_Car_Late_Hoplites	Late Carthaginian Hoplites	true
